"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1960505308742389927","Wed Aug 27 00:51:04 +0000 2025","0","Nafa Urbach Janjikan Seluruh Gaji dan Tunjangan DPR RI untuk Rakyat di Dapil hingga 2029 https://t.co/TfTg7Z8Qg0 https://t.co/11vGSkT15g","1960505308742389927","https://pbs.twimg.com/media/GzUdMFBaoAA9v-E.jpg","","in","","0","0","0","https://x.com/undefined/status/1960505308742389927","1727593504753565696",
"1960505170602942843","Wed Aug 27 00:50:31 +0000 2025","0","@DPR_RI .","1960505170602942843","","DPR_RI","qam","","0","0","0","https://x.com/undefined/status/1960505170602942843","1899370565905055744",
"1960505038855660006","Wed Aug 27 00:50:00 +0000 2025","0","Diskon JATINANGOR ShopeeFood! ️ Paket ayam spicy large cuma 8K AJAAA ! Klaim vouchernya dulu di sini cepetan ⬇️ https://t.co/29q8otTggQ https://t.co/29q8otTggQ gofood grabfood kode promo go grab shopee food sfood voucher arhan Azizah Salsha gedung DPR ri taylor swift https://t.co/X67mkLvAVd","1960505038855660006","https://pbs.twimg.com/media/GzTE8eva4AEJsn0.jpg","","in","","0","0","0","https://x.com/undefined/status/1960505038855660006","1932320545540034560",
"1960504872186327287","Wed Aug 27 00:49:20 +0000 2025","0","Nafa Urbach Minta Maaf Janji Beri Gaji dan Tunjangan DPR Miliknya Untuk Guru di Jawa Tengah. Anggota DPR RI Nafa Urbach sempat dikritik publik karena berkomentar soal tunjangan perumahan anggota dewan Rp.50 juta dan mengeluhkan macet. #NafaUrbach #GajiDPR https://t.co/zYCiuTAzXZ","1960504872186327287","https://pbs.twimg.com/media/GzUcyCZa4AIuCAZ.jpg","","in","","0","0","0","https://x.com/undefined/status/1960504872186327287","1934567104369610752",
"1960504853853298951","Wed Aug 27 00:49:16 +0000 2025","0","@prabowo suruh anak buahnya Pak tolong kalau di jalan selama belom jadi mayat ga usah tet tot tet tot di jalan. Sama jg kumpulan tikus di @FPKSDPRRI ga usah ngerasa sok paling sibuk. Paham gak kalian itu kerja buat rakyat?kalo ga paham ga usah sok duduk di parlemen @DPR_RI","1960504853853298951","","prabowo","in","","0","0","0","https://x.com/undefined/status/1960504853853298951","1173131365845331973",
"1960495366769664156","Wed Aug 27 00:48:29 +0000 2025","0","@NgkongRoses @DPR_RI @mprgoid @DPDRI @prabowo @KemenkeuRI @KemensetnegRI Betul seharusnya wanita menangis melihat kenyataan hidup (gambar hanya pemicu emosi) https://t.co/1VPvQ0Tsdg","1960504659904495945","https://pbs.twimg.com/media/GzUcmBJa4AA3WN6.jpg","NgkongRoses","in","","0","0","0","https://x.com/undefined/status/1960504659904495945","1606134650640158720",
"1960504564429545522","Wed Aug 27 00:48:07 +0000 2025","0","Pemimpin negara Republik Indonesia.... . . Lawak panggung istana dan Gedung DPR RI https://t.co/R5HGLZhkEX","1960504564429545522","https://pbs.twimg.com/media/GzUcgS5a4AEkp96.jpg","","in","","0","0","0","https://x.com/undefined/status/1960504564429545522","1757729498102124545",
"1960504548117622847","Wed Aug 27 00:48:03 +0000 2025","0","Sehrsnya DPR introspeksi diri. Demo mhs 25 Agust.ybl mprotes tunjangan rmh anggota DPR rp 50 jt perbln mrupakan akumulasi kmuakan rakyat atas kinerja DPR 10 thn yg tdk bpihak kpd kpentingan rakyat pdhal 23 jt rakyat masih miskin dgn pghasilan rp 600 rb perbln. Tega2nya berjoget","1960504548117622847","","","in","","0","0","0","https://x.com/undefined/status/1960504548117622847","1297659867117674496",
"1960504371894215101","Wed Aug 27 00:47:21 +0000 2025","1","Sudah di titik tidak percaya partai apalagi akhir2 ini banyak melihat kelucuan2 di @DPR_RI . Lebih lucu lagi ketua dpr nya malah lebih memilih ke istana drpd mendengarkan suara rakyatnya. Mending bisukan akun yg slalu promo tentang partai apalagi mslh personnya. #Muak","1960504371894215101","","","in","","0","0","0","https://x.com/undefined/status/1960504371894215101","997945964378796032",
"1960504342194135095","Wed Aug 27 00:47:14 +0000 2025","1","Super Messi The Goat Rabu Arhan Gedung DPR RI ISAC #ai #aiart #aivideo #AIArtistCommunity https://t.co/5IATGXskFl","1960504342194135095","https://pbs.twimg.com/ext_tw_video_thumb/1960504305297055745/pu/img/eMrJF2g36aGZRxwB.jpg","","in","","0","0","0","https://x.com/undefined/status/1960504342194135095","1894410309647167488",
